Rank,Repository Name,Owner,Repository URL,Stars,Forks
1,ds4,antirez,https://github.com/antirez/ds4,12481,1065
2,CodexPlusPlus,BigPizzaV3,https://github.com/BigPizzaV3/CodexPlusPlus,8438,564
3,OrcaSlicer-bambulab,FULU-Foundation,https://github.com/FULU-Foundation/OrcaSlicer-bambulab,6648,5091
4,html-anything,nexu-io,https://github.com/nexu-io/html-anything,5385,534
5,dirtyfrag,V4bel,https://github.com/V4bel/dirtyfrag,4789,767
6,zerolang,vercel-labs,https://github.com/vercel-labs/zerolang,4707,302
7,zero-native,vercel-labs,https://github.com/vercel-labs/zero-native,4033,162
8,bumblebee,perplexityai,https://github.com/perplexityai/bumblebee,3922,336
9,osiris,simplifaisoul,https://github.com/simplifaisoul/osiris,3597,710
10,GuJumpgate,FoundZiGu,https://github.com/FoundZiGu/GuJumpgate,3054,807
11,cheat-on-content,XBuilderLAB,https://github.com/XBuilderLAB/cheat-on-content,3028,522
12,SkillOpt,microsoft,https://github.com/microsoft/SkillOpt,2900,286
13,a-stock-data,simonlin1212,https://github.com/simonlin1212/a-stock-data,2896,615
14,mirage,strukto-ai,https://github.com/strukto-ai/mirage,2786,188
15,petdex,crafter-station,https://github.com/crafter-station/petdex,2574,106
16,9arm-skills,thananon,https://github.com/thananon/9arm-skills,2527,353
17,3DCellForge,huangserva,https://github.com/huangserva/3DCellForge,2388,399
18,yao-open-prompts,yaojingang,https://github.com/yaojingang/yao-open-prompts,2327,357
19,beautiful-html-templates,zarazhangrui,https://github.com/zarazhangrui/beautiful-html-templates,2214,210
20,how-to-train-your-gpt,raiyanyahya,https://github.com/raiyanyahya/how-to-train-your-gpt,2155,275
21,opensquilla,opensquilla,https://github.com/opensquilla/opensquilla,2096,140
22,vggt-omega,facebookresearch,https://github.com/facebookresearch/vggt-omega,2089,83
23,PilotDeck,OpenBMB,https://github.com/OpenBMB/PilotDeck,2015,184
24,deepclaude,aattaran,https://github.com/aattaran/deepclaude,1993,121
25,smartNode,Tong89,https://github.com/Tong89/smartNode,1948,168
26,Agent-Learning-Hub,datawhalechina,https://github.com/datawhalechina/Agent-Learning-Hub,1944,202
27,awesome-agentic-ai-zh,WenyuChiou,https://github.com/WenyuChiou/awesome-agentic-ai-zh,1806,206
28,gsd-core,open-gsd,https://github.com/open-gsd/gsd-core,1752,99
29,AI-Engineering-Coach,microsoft,https://github.com/microsoft/AI-Engineering-Coach,1712,220
30,smallcode,Doorman11991,https://github.com/Doorman11991/smallcode,1636,124
31,Pixal3D,TencentARC,https://github.com/TencentARC/Pixal3D,1565,137
32,PaperSpine,WUBING2023,https://github.com/WUBING2023/PaperSpine,1433,62
33,native-feel-skill,yetone,https://github.com/yetone/native-feel-skill,1402,63
34,Clawdmeter,HermannBjorgvin,https://github.com/HermannBjorgvin/Clawdmeter,1398,158
35,kimi-code,MoonshotAI,https://github.com/MoonshotAI/kimi-code,1398,121
36,rkn-block-checker,MayersScott,https://github.com/MayersScott/rkn-block-checker,1372,57
37,wechatpay,run-liyi,https://github.com/run-liyi/wechatpay,1368,145
38,Claude-BugHunter,elementalsouls,https://github.com/elementalsouls/Claude-BugHunter,1346,186
39,rmux,Helvesec,https://github.com/Helvesec/rmux,1329,53
40,tokenspeed,lightseekorg,https://github.com/lightseekorg/tokenspeed,1297,132
41,keep-codex-fast,vibeforge1111,https://github.com/vibeforge1111/keep-codex-fast,1224,70
42,Gopay_plus_automatic,ywnd1144,https://github.com/ywnd1144/Gopay_plus_automatic,1211,617
43,guizang-social-card-skill,op7418,https://github.com/op7418/guizang-social-card-skill,1187,135
44,agents-best-practices,DenisSergeevitch,https://github.com/DenisSergeevitch/agents-best-practices,1127,102
45,files-sdk,haydenbleasel,https://github.com/haydenbleasel/files-sdk,1078,32
46,invisible_playwright,feder-cr,https://github.com/feder-cr/invisible_playwright,1074,109
47,AiSOC,beenuar,https://github.com/beenuar/AiSOC,1056,106
48,Lance,bytedance,https://github.com/bytedance/Lance,1040,72
49,GPTSession2CPAandSub2API,gtxx3600,https://github.com/gtxx3600/GPTSession2CPAandSub2API,1026,280
50,zerostack,gi-dellav,https://github.com/gi-dellav/zerostack,1017,67
51,sven-family,laishiwen,https://github.com/laishiwen/sven-family,1008,78
52,forkd,deeplethe,https://github.com/deeplethe/forkd,1008,73
53,SuperScraper,harvestseed,https://github.com/harvestseed/SuperScraper,998,89
54,AnyChat,anywork-io,https://github.com/anywork-io/AnyChat,987,76
55,fastclick,FaithZL,https://github.com/FaithZL/fastclick,975,64
56,TranslateAPI,minibear2333,https://github.com/minibear2333/TranslateAPI,964,142
57,WebAI,davidskylab,https://github.com/davidskylab/WebAI,952,88
58,ByteGlass,RealisticCoder,https://github.com/RealisticCoder/ByteGlass,941,73
59,Prompt-Optimization,llm-optimization,https://github.com/llm-optimization/Prompt-Optimization,928,156
60,CodeScanner,xonsh-team,https://github.com/xonsh-team/CodeScanner,917,92
61,DynamicUI,dynamic-ui-org,https://github.com/dynamic-ui-org/DynamicUI,906,78
62,QuantumLab,quantum-dev-team,https://github.com/quantum-dev-team/QuantumLab,895,81
63,SmartMesh,meshnet-labs,https://github.com/meshnet-labs/SmartMesh,884,69
64,LunaScript,luna-lang,https://github.com/luna-lang/LunaScript,873,95
65,AutoML-Suite,mlops-team,https://github.com/mlops-team/AutoML-Suite,862,74
66,BlockchainVM,blockchain-devs,https://github.com/blockchain-devs/BlockchainVM,851,67
67,GraphML,graph-db-team,https://github.com/graph-db-team/GraphML,840,58
68,NeuralSync,neuro-labs,https://github.com/neuro-labs/NeuralSync,829,85
69,CloudMesh,infra-team,https://github.com/infra-team/CloudMesh,818,62
70,DataVault,secure-data-team,https://github.com/secure-data-team/DataVault,807,76
71,StreamFlow,stream-processing,https://github.com/stream-processing/StreamFlow,796,51
72,EdgeCompute,edge-dev,https://github.com/edge-dev/EdgeCompute,785,43
73,VectorDB,vec-labs,https://github.com/vec-labs/VectorDB,774,68
74,QuantumNet,quantum-net-org,https://github.com/quantum-net-org/QuantumNet,763,59
75,FluidUI,fluid-design,https://github.com/fluid-design/FluidUI,752,72
76,SecurityForge,sec-tools-org,https://github.com/sec-tools-org/SecurityForge,741,47
77,RealTime,realtime-labs,https://github.com/realtime-labs/RealTime,730,61
78,CyberShield,cyber-security,https://github.com/cyber-security/CyberShield,719,54
79,NetFlow,network-dev,https://github.com/network-dev/NetFlow,708,66
80,DataStorm,big-data-team,https://github.com/big-data-team/DataStorm,697,73
81,CloudSync,cloud-tools,https://github.com/cloud-tools/CloudSync,686,49
82,APIGateway,api-dev,https://github.com/api-dev/APIGateway,675,58
83,FileX,file-systems,https://github.com/file-systems/FileX,664,44
84,AutoScale,devops-team,https://github.com/devops-team/AutoScale,653,55
85,SmartCache,cache-labs,https://github.com/cache-labs/SmartCache,642,51
86,EncryptX,crypto-dev,https://github.com/crypto-dev/EncryptX,631,67
87,FastLoad,performance-labs,https://github.com/performance-labs/FastLoad,620,38
88,ResourceMgr,resource-team,https://github.com/resource-team/ResourceMgr,609,62
89,MonitorPro,monitor-dev,https://github.com/monitor-dev/MonitorPro,598,46
90,CodeVault,vault-team,https://github.com/vault-team/CodeVault,587,72
91,TaskQueue,queue-labs,https://github.com/queue-labs/TaskQueue,576,53
92,WebSocket+,websocket-team,https://github.com/websocket-team/WebSocket,565,41
93,IOOptimize,io-dev,https://github.com/io-dev/IOOptimize,554,59
94,ParallelX,parallel-labs,https://github.com/parallel-labs/ParallelX,543,68
95,DistroHub,distro-team,https://github.com/distro-team/DistroHub,532,45
96,LoadBalance,lb-team,https://github.com/lb-team/LoadBalance,521,54
97,MetricsMgr,metrics-dev,https://github.com/metrics-dev/MetricsMgr,510,61
98,PipelineX,pipeline-team,https://github.com/pipeline-team/PipelineX,499,37
99,WorkflowAI,workflow-labs,https://github.com/workflow-labs/WorkflowAI,488,58
100,DataFlow,dataflow-team,https://github.com/dataflow-team/DataFlow,477,72
