Rank,Repository Name,Owner,Repository URL,Stars,Forks
1,ds4,antirez,https://github.com/antirez/ds4,12481,1065
2,CodexPlusPlus,BigPizzaV3,https://github.com/BigPizzaV3/CodexPlusPlus,8438,564
3,OrcaSlicer-bambulab,FULU-Foundation,https://github.com/FULU-Foundation/OrcaSlicer-bambulab,6648,5091
4,html-anything,nexu-io,https://github.com/nexu-io/html-anything,5385,534
5,dirtyfrag,V4bel,https://github.com/V4bel/dirtyfrag,4789,767
6,zerolang,vercel-labs,https://github.com/vercel-labs/zerolang,4707,302
7,zero-native,vercel-labs,https://github.com/vercel-labs/zero-native,4033,162
8,bumblebee,perplexityai,https://github.com/perplexityai/bumblebee,3922,336
9,osiris,simplifaisoul,https://github.com/simplifaisoul/osiris,3597,710
10,GuJumpgate,FoundZiGu,https://github.com/FoundZiGu/GuJumpgate,3054,807
11,cheat-on-content,XBuilderLAB,https://github.com/XBuilderLAB/cheat-on-content,3028,522
12,SkillOpt,microsoft,https://github.com/microsoft/SkillOpt,2900,286
13,a-stock-data,simonlin1212,https://github.com/simonlin1212/a-stock-data,2896,615
14,mirage,strukto-ai,https://github.com/strukto-ai/mirage,2786,188
15,petdex,crafter-station,https://github.com/crafter-station/petdex,2574,106
16,9arm-skills,thananon,https://github.com/thananon/9arm-skills,2527,353
17,3DCellForge,huangserva,https://github.com/huangserva/3DCellForge,2388,399
18,yao-open-prompts,yaojingang,https://github.com/yaojingang/yao-open-prompts,2327,357
19,beautiful-html-templates,zarazhangrui,https://github.com/zarazhangrui/beautiful-html-templates,2214,210
20,how-to-train-your-gpt,raiyanyahya,https://github.com/raiyanyahya/how-to-train-your-gpt,2155,275
21,opensquilla,opensquilla,https://github.com/opensquilla/opensquilla,2096,140
22,vggt-omega,facebookresearch,https://github.com/facebookresearch/vggt-omega,2089,83
23,PilotDeck,OpenBMB,https://github.com/OpenBMB/PilotDeck,2015,184
24,deepclaude,aattaran,https://github.com/aattaran/deepclaude,1993,121
25,smartNode,Tong89,https://github.com/Tong89/smartNode,1948,168
26,Agent-Learning-Hub,datawhalechina,https://github.com/datawhalechina/Agent-Learning-Hub,1944,202
27,awesome-agentic-ai-zh,WenyuChiou,https://github.com/WenyuChiou/awesome-agentic-ai-zh,1806,206
28,gsd-core,open-gsd,https://github.com/open-gsd/gsd-core,1752,99
29,AI-Engineering-Coach,microsoft,https://github.com/microsoft/AI-Engineering-Coach,1712,220
30,smallcode,Doorman11991,https://github.com/Doorman11991/smallcode,1636,124
